1,/i:/,01.mp4,Nguyên âm /i:/ là âm cao-trước. Lưỡi của bạn phải hướng lên trên và lệch về phía trước trong khoang miệng. Đôi môi của bạn phải căng lên và khóe miệng hơi kéo dài ra. Môi của bạn chỉ nên mở một chút. Rung dây thanh quản của bạn khi giữ miệng ở vị trí này.
2,/ɪ/,02.mp4,Nguyên âm /ɪ/ là âm cao-trước. Lưỡi của bạn phải hướng lên trên và lệch về phía trước trong khoang miệng. Môi của bạn nên thả lỏng và chỉ hé mở. Rung dây thanh quản của bạn khi giữ miệng ở vị trí này.
3,/ʊ/,03.mp4,"Âm /ʊ/ là một nguyên âm cao sau và là nguyên âm lỏng (lax vowel). Để phát âm được âm này lưỡi của bạn phải được đưa lên vị trí cao trong khoang miệng (vị trí thấp hơn một chút so với âm /u/) và lệch ra phía sau. Giữ cho miệng của bạn được thư giãn và hơi hé mở. Sau đó rung dây thanh quản của bạn khi bạn đẩy không khí ra khỏi miệng."
4,/u/,04.mp4,"Âm /u:/ là một nguyên âm cao sau và tròn. Để phát âm được âm này lưỡi của bạn phải được đưa lên vị trí cao trong khoang miệng và lệch về phía sau. Đặt môi của bạn thành hình tròn chữ “O”. Bạn sẽ cảm thấy cơ miệng bạn căng ra. Sau đó rung dây thanh quản của bạn khi bạn đẩy luồng hơi ra khỏi miệng."
5,/ɪə/,05.mp4,"Để phát âm này hãy nói /iː/ sau đó di chuyển lưỡi qua lại và môi bạn bớt rộng hơn để tạo ra âm /ə/."
6,/eɪ/,06.mp4,"Để phát âm này hãy nói một âm /e/ dài theo sau là một âm /ɪ/ rất ngắn. Hai âm thanh đi cùng nhau và không nói riêng lẻ. Âm /eɪ/ được tạo ra khi bạn cử động miệng. Bạn cần di chuyển lưỡi lên từ /e/ đến /ɪ/ và hơi khép miệng lại."
7,/ɛ/,07.mp4,Nguyên âm này là nguyên âm giữa-trước. Đặt lưỡi của bạn ở độ cao giữa trong khoang miệng và di chuyển nó về phía trước. Các cơ ở môi và miệng của bạn phải được thư giãn. Rung dây thanh quản của bạn khi giữ miệng ở vị trí này.
8,/e/,08.mp4,Nguyên âm này là một nguyên âm giữa-trước. Đặt lưỡi của bạn ở độ cao giữa trong khoang miệng và di chuyển nó về phía trước. Các cơ ở môi và miệng của bạn cần phải khá là căng. Rung dây thanh quản của bạn khi giữ miệng ở vị trí này. Nguyên âm này có vị trí lưỡi trong miệng cao hơn một chút so với nguyên âm /ɛ/.
9,/ɜː/,09.mp4,"Âm /ɜː/ trong tiếng Anh phát âm như âm ""ơ"" trong tiếng Việt nhưng kéo dài hơn. Đặt lưỡi ở giữa miệng môi hơi tròn và phát âm như thể đang nói âm ""ơ"" nhưng giữ nguyên vị trí lưỡi và môi lâu hơn. Không di chuyển lưỡi hay môi khi phát âm."
10,/ɔː/,10.mp4,"Âm /ɔː/ được phát âm bằng cách làm tròn môi và mở rộng miệng. Lưỡi đặt thấp và kéo về phía sau trong miệng. Để phát âm chuẩn hãy kéo dài âm thanh này. Một số từ ví dụ: ""law"" ""saw"" ""thought"". "
11,/ʊə/,11.mp4,"Để phát âm này hãy nói /uː/ sau đó mở miệng ngừng cong môi và di chuyển lưỡi xuống để nói /ə/."
12,/ɔɪ/,12.mp4,"Âm /ɔɪ/ là một nguyên âm đôi là sự kết hợp của hai nguyên âm đơn khác nhau. Để phát âm âm này hãy đặt lưỡi của bạn ở độ cao vừa phải trong khoang miệng lệch về phía sau để phát âm âm /o/ đồng thời làm tròn môi thành hình chữ “O”. Sau đó khi bạn rung dây thanh quản hãy đưa lưỡi lên cao trong khoang miệng và lệch về phía trước để phát âm âm /ɪ/. Việc chuyển vị trí đặt lưỡi này cần diễn ra một cách rất nhanh chóng."
13,/eʊ/,13.mp4,"Âm /eʊ/ là một nguyên âm tròn và giữa. Để phát âm âm này hãy đặt lưỡi của bạn ở độ cao vừa phải trong khoang miệng và lệch ra phía sau. Rung dây thanh quản của bạn khi bạn làm tròn môi thành hình chữ “O”."
14,/æ/,14.mp4,Nguyên âm này là một nguyên âm thấp. Đặt lưỡi của bạn ở vị trí thấp trong khoang miệng và di chuyển nó về phía đằng trước. Các cơ ở môi và miệng của bạn phải được thư giãn. Rung dây thanh quản của bạn khi giữ miệng ở vị trí này. Nguyên âm này có vị trí lưỡi trong miệng thấp hơn so với nguyên âm /ɛ/.
15,/ʌ/,15.mp4,Nguyên âm /ʌ/ là một âm giữa. Điều này có nghĩa là nó được tạo ra với phần lưỡi được thả lỏng và đặt ở giữa khoang miệng (không quá xa về phía trước hoặc phía sau). Lưỡi của bạn phải ở độ cao vừa phải trong khoang miệng và bạn cần mở miệng vừa phải. Rung dây thanh quản của bạn và đẩy luồng hơi ra khỏi miệng.
